ユーザ,システム
すごいこの急須のここがいれにくくしてるんだよ。,いや、もう今すぐ行くかあーとか思
ふうーん。,そっか、じゃあ私も何かやってみるかって言ってたからねえ......それで何回
日本は危機管理っていうか、そういうの全然できてないわけよね。国間のトラブルは、政府がすぐ連絡してちゃんと指示すればいいのよ。,はずだ
ねえ。まあオールマイティーにやる、やる子が、いいのかな。んー。,ふとさっき思
ステンドガラス作るとなると、工房みたいなのが必要になってくるわよ。,うんねーやっぱり今はさ
まずくなっちゃった。,そうだよねー、その辺はもうちょっと考えろよとか思ってさぁやっぱり
ためてはいけないと思ったらだめやけど。,、いいかげんにしろよみたいなさみしさはなんだろうねえ
私は、音楽を取られちゃうと生きがいがなくなっちゃうけど、でもまあね。,うかがってないから
はー。,そっか、それもそうなんだけどねえっていうかなんかねああいうのやんわりと
ええ、えらいもん売ってたりするんでしょうね、きっとねえ。,うん?なんかすごいこうで
そうなんですよね。だからあたしも、言われたんですよねー、どうしたいのーって。だから、どうしようっていうんで。またあたしのついてる先生が、もう退官されるんですよ、2年後、3年、3年後ぐらい。,そう
何でこの修正液壊れちゃったんだろう。力任せに開けたからかなあ。,ふーん、でも何か
どうだろう、もう。はある。,違うよねーって言ってたからなあと思ったけどそれもそうですし
あー、なんかいいにおい。,ふわっと思って買ったけどやっぱりいいですよねえとかね
朝起きて水分は入れますけど朝食は食べないの、私。,うん?これなんだっけかなー
ほんとだね。遅くまで遊んでるとまた明日仕事だしとかさ。,おこずかい持って、お金持たせ
パソコン買ったばっかりじゃまだ、機能分からなくてもしょうがないでしょ。,そうだよねーのさあな
もりもりそのまま食べるなら、安い味つけノリにしとけやって感じ。,そっかーよかったなあと思いながら食べ
あー。,私、ちゃんの作った料理を食べたことがありますけどねえ」とおっしゃるお客さまは
でももう見つけ、もう見つけなくてもいい。,えっ?どうしてあの人ねーって思うんだけどさあ
私でさえも微妙だとたまに思うもん。,違うんだけどさー、ちょっとこう変なのやらかし
これが嫌なの。,いやあ、いいですよねえ?こちらで大体決めてあるんですけども」 
生理的にすごいこう、嫌ーな感じの,うん。まあでもやっぱりさすがにもうすぐ1年
なんで。,そりゃねえー、そうじゃないのはよくわかんないけどさあ?私全然そういう
あれこそ一番もったいない。授業。本当に。かなり。普通にもったいないよ、もうー。あーあー。,そう
私は、補聴器ほとんど使わないわよ。忘れちゃうの。,そうだねえーさんは結構大変
ねえ。テストというか、急に難しくなったといって。,うんそうだなあと思うけどー?私だったらそんな
ジュベルニはねモネの生家があるとこなんです。,うん、だから今の時期が一番おいしいと思う
たりして、隠れたりして。,うーんねえとこだなああと思ってたけど違ったんですか?
私がいないのに、私の部屋にいられても困る。,えて?これなんなんだっけかなーと思ってみ
もうフライパンとか重くて、持ち上がらないぐらい。煮物とかでもなべいっぱい作らんとあかんしさ。最低1時間は絶対取られるって。,おこ
ふーん。,そう、そういうわけで今度行ってきたらさあ・そっからなんか教えるねとか
あー。まだ今からでもできるけどね、旅行の話。,違うよ?なんかその辺の友達と遊んで
あ、もうオッケーだ。全然オッケーです。,いやーんないよねえって言われてたから
工事が終わったら、めでたく開通するんじゃないですか。え、昔って、ちゃんとこっちから曲がってたよねー。,そう
いつまで?,何時からですか。だから、1時45分くらいですねえって言ってたけどーでももう全然
うんはあ、12月で困っちゃう。もう。,いやだからいいけどねーって言ったら嫌だ言われ
うん。使えないよね。,もうちょっとこう、まめにやってもいいかなと思えてきたしーさんの気持ち
そうなんだねー。,うん、そうだよなあと思ってさすがに今年は来ないだろうと思ったけどそのあと
あんまり食べないのに太っちゃうって本当困っちゃうもう、もう。,違うよねー私も食べた
うん、そういうだから1〜2年生がー、ソロをいつもやるんだって。,あっち行ったほういいんじゃないの
あの、すし、すし酢で、すしにするといいわ、まだ。,はい?あーだこ
まだちょっと早いねんな。オンシジュームはもう完全に死んだし。,そうですねー、なんかそういう人って
向こうも慣れてんじゃない、チケット間違えちゃう人多いんじゃない?,いやー。うんともすんかねえね
東海市にできたジャスコがすっごい大きいらしいよ。,抱っこひもで行けないって、ほんとに
売って、あー、ちょっと、ちょっと分けて。,ふん?あっはいねえなと思ってさすがに
これ、何、ケーキセットとかあったっけ、ここ。,そう?だからそれじゃなくてさーねえとかねあの子
雪降らない国から来たら、雪降ってるとこを写真撮りたくなる気持ちわかるねー。,ふだんは普通
あたしも時間の使いかた下手だと思う。,いや、ほんとにねーもう1回やり直してみる
ほんな意味ないやんね。何しよう。はよ決めようって感じかな。,うそー、そうですか?
なんかいろいろあったね。いや、いやなことばっかりだから。,うんいいと思うよー?なん
うん、それは違うと思う。やっぱり男性と女性では。うん。,いっぺん辞めるとねえよーと思って
ヘーゼルナッツとかが入っとるコーヒーとかさー。すごいなんか甘いし、なんか、うん。変な香りだけが、すごい嫌なん。,そう
うん。でも大変だよね、お金ないだろうね。うん、かわいそう。,うわさの「あのー」
いや、そうかあ。知らなかった。知らなかった。,同級生と会って話しててー何かねぇなと思ったんだけど
どっかで日本語のことをちょっとやってみて、なんか物足りないとか、必要性を感じてとかっていう人ばっかりでしょう、セミナーに来る人って基本的には。,あ
で、台所がついてて、で、あ、和室があって、一画8畳あって、たぶん20。,そん
そうね、そうね。,ふーんちゃんがさあ困るんだってよ?だからそのお薬飲んで治
たぶんなんか、山の。,ふーんそうやろねえけどさあそっかどなたか教えてください
うん、もう、何かね、何があってもとにかく。,違う?あれでさーっていう感じでしょうか」とおっ
この前もう、ねえ、えーっと、今年もよろしくって挨拶していたかと思ったらもう年末だもんね。,ふ
泡立てんのが難しいー。,うん、そうだよねえとか言っててさあやっぱり自分でも気づかない
うん。たぶんねー、解約はすぐできると思う。私もね、一番最初はー、あれだったの、昔でいうセルラーだったのねー。で、セルラーからドコモに変えようと思ったときには、その、セルラーの、こうお店?あるでしょ、お店に行ってー、やめたいんですけどって言ったら、じゃあ何日までっていうふうに書いて、で、すぐやめられた。,い
うん。それが増えるとさあ、8コマなんだよ。9か。,じゃないよねー?何回だっけ
うんうん、ということは、両方のその、学生運動も向こうで参加して、火炎瓶とか投げるようなことをして、で、こっち来て、そういう問題にも関心持って見たら、違いがあって、時代の違いとか、そのー組織の、なんていうの、法整備の違いとか、なんかそういうのがあるっていうのを言われて、なんか、一回き、機会あったら、なんか講義に来てとか言うてた。講義ではないけど、日本人はその話を,そう
E2ってやつ、なんかよくわからんわ。,いろんなとこに行ってるんだけどもさー
うん、まあそりゃそうだけど。会社行くまでが長いんだよな、やたらと。苦痛だし。また今日も行くんかなあと。でも会社に着いちゃうと早いけどね、俺の場合。,じゃ
だからそのー、家事とかなんとかが原因とか言ってるからー、Bもそれを聞いたときにー、やっぱりあのー、うん、しびーれじゃないでしょうっていう、うん、気がしたんだよねー。,そ
なんかさ、最初泊まったところはー、アリがいっぱいいなかった?確かさ。,そうよねえも行きたい
残念ながらそんなにはたってないはず。,うん、なんかそうだよねーみたいな感じで言ってんのかもしん
お父さん、今、めちゃくちゃ時間あるからさー、だからさー、お母さんがさ、買い物行くときにさ、必ず、付き合ってやろうかって言うのね。付き合ってやろうかじゃないだろうと思うでしょう。,う
あー、そうなんかねー。なんかさ、借りるんだったらさー、もうなんか、今の時期からとっとかないとだめだと言われたんだけどー。うーん。だからさ、に帰ったら見にいこうかなと思っている。うん。なかったら嫌じゃない?変な人しか。,あっ
じゃあ。。,、うんねーとか言ってたからさっさと辞めてって思っちゃったのよけどやっぱ
そんなことないんですけど、知らないので、ついてか。,違うと思うよねー?うんとこあるんだろうって思う
あああああ。,いや、それはだめなのかもしれないねえーとかさあれはなんかそういう感じ
僕のせいにされてもさー。,そう、そうなんですよねえとかね...もうほんとうはこうしてほ
うーん。あるよねー。うん。,ふわぁ、おめでとさあちゃんが来るから
ご両親はずっとオーストラリアに行ったっきりなわけ?そんなことはない?何年かしたら戻ってくる?,ううん。いや、
彼氏、仕事はしなきゃっていうのはわかってるみたい。勉強じゃなくって。それはそうだろうけど、今さらになって大学4年で卒業してね、働いてたらよかったとか言って。,だよ
うん。あれでしょ、抗生物質ってよくないでしょ、きっと。うん。,違うねえちゃんさーなん
そうそうそうそう、何かこう、何かが近づいてきてそれをこうつかんだ瞬間にもう遠くに行っちゃってっていう感じだよね。,うん
うん、死ぬ。,えっとねーやった方がいいの?ちゃんのお父さんがやってたじゃんって言われ
でも疲れて難聴になるって、あんまり聞いたことないーしー。あるのかなあ。,うんねえよ
自動車も嫌なんですか?,うん。だから、私ねえ運転しすぎちゃうからやめたいんですよーって
そやね。そうよ、あんとき何かすごい大っきい腹してきて、ほんで。,そうなんだけどさー
ほんと?しないのかな、チェック。でも、そんなことないよね。,うーんなんだっけかあ
8時でこの店閉まるんだよね。,いや、でもあのさあー1人で行くのも寂しくなって
そうだよー。,うん、そうなんだけどねえって思うよだからさあそういうのがいっぱい出てるみたいな
ふーん、すいません、ちょっとーって言うわけにもいかないもんね。大学生じゃね。,違うと思うんだけど
1年。,ふーん、そっかそうかもねえ?今の時期から来年の4月までが忙しいよ
そういう利点があるのかなあ。たぶん、この回りでわかると思うけどね。つうか犯罪せんし、俺。そんな捕まるようなこと。,そう
来年はほとんど授業ない。今年全部単位取っとるから、ほとんど。,あーでもさんはもう卒業する
ベトナム戦争の頃、今みたいにみんな気軽に帰国なんてできっこなかったよ。,いや別にねえーと思ってさ
よくわかんなくなったんだ。へれすにしよう。,うん、そうだねーとか言ってるけど全然そんな気に
学生がたくさんいなければ。うん。,そうよねー、そういうこともあるんだってばかさあ思っとるわえとか
Bちゃん今忙しいのかなー。,うん、そうだよねえとかいって言ってるけどさあなにを
マックはついてますねえ。ウィンドウズはどうなんだろ、あるんじゃないすかねえ。,あーだこり
おごらず。,あ、でもさーお客さんも大変だからそのへんのことも考えてねえよとか言ってたんです
私の外国の知り合いは、日本語検定1級を持ってる。,うんでも何かさーっていう感じでやっててねえ
柿の調理方法って、結構難しいよね。ジャムとかもあるみたいだけど、なんかちょっと、ジャムにするには、水気が少なすぎる感じがするし。,そう
メジャーリーグなんかもあの解説してる人がこう、皮肉っぽく、湿っぽく言う人だとおもしろくないわね。,うん
1クラスに双子が10組いたら、双子じゃない人にとっても、なんか、異様な環境だよね。,う
私、あまいの苦手なんだよね。,うんさーていうとこなんだけど?ちゃんが作ったや
うん?,え、それで何かあればいいんだけどね。ふーんって言ってたらさくんがまた来る
どんぶりいっぱいのきんぴらごぼうなんて食わないよ。お前んち家族が多いからだろう。,うん、そうだよ
わかった。じゃあ、いいよ、止めて。,いやーめろねえとさけんなきゃいけないんだ
あっ読めない。,私も読んだことあるけど、ほんとにさーって思っちゃったよねえ?2
7時から。,うん、そうかもねーじゃん?7時のお迎えになっちゃったらもう帰らないのかな
授業って言うのは、集中して頭使って、その議論に参加してかないともう、最悪ですよね。,うん
あ、そうですか。,いや別にいいけどさー何で?俺はなんか今夜みたいになっちゃう
じゃあ、止める?,そうだね。だからその辺はもうちょっと考えてもいいかもしれないよとか思うとー何かこう
まあ、いろいろ角度を変えたり、ポジションを細かく出して自分に合うところ探すしかないです。上げたり下げたり、出したり引っ込めたり。,違う
んー。ない、会話にもないでしょうね、絶対に。,うんあそうなんですか?なんかさっぱりわからん
ああー。持ってくるって。,そうなの?私、その辺からしか見てないけどねえやんかと思う
ほんとに一番ね、しんどいところ。,うんいいよなーと思ってるんだけどもさあなんか違う
あ、そうですか。へえー。,そうなのよね?私も何かちょっと変わったことしたらすごい恥ずか
あー。でもさー、なんかさー、あたしー、暗記するべきものだけ覚えてくださいみたいな、なんかそういう歴史の授業って嫌だな。結局さ、終わんないんだよ。,うん
せかせか、せかせかしててー、すっごいなんかあんまり言ってくれんかった。,わせっか
まじで?,いや、それはねえ。うんちとかはもう普通にできると思うのけどもーんって言われ
笑い話とか高度なこと、最初から英語でできたらさ、英会話教室なんて行くわけないじゃんね。,そりゃ
あ、そっかー。ふーん。,うん?なんかねえとこでさあの人のこと思い出したんだ
私、ああいうのはたぶん無理だなー。,うんねえよもったいないけどちゃんがや
私も直さないかも。,あ、でもねーあの人はなんかねぇもう辞めたんだってさ?うんその
何かさ、ずんどうにすんだよね、わざわざ。,うんとだよーっちゅう感じかな?でももういい
紅玉は普通に食べるにはすっぱくてね。,バター使っちゃって、もう1回やってみるけどダメよ
あ、就職活動やってないか。私もやってないけど、聞いた話だけど、やっぱ響くみたい。,そっか
講義って長いよね。,そうだなー、そうなんだけどさあそういうのがあるとわかっちゃうからほんとう
あ、そうなんだ。ふーん。え、今、KYちゃんってどこだっけ。,うんはっとしたわ
うん、そうだね。,そっかーとかいって言っても聞いてこないよなあと思ったらやっぱりなん
じゃない?,はー。私、今年で7回も行ってるんですよねえさんのとこなんか
そう。,あー、私もそれでいいのかなと思ったんだけどさねえ、「何を書こう」って頭
ああ、。要するにかなんか絶対評価になってー、その準備もあるしー。あとはなんかそのー、総合的な学習の時間できて、単位数が減ってー、どうたらこうたら、資料集めでどうたらこうたらーとか。,そう
やだねー。通らなきゃいけない道なんだろうね。,抱っこしたままで寝たら怒られるよ
あー疲れたー。あー眠い。,ねえ、お母さんとあんまり変わらないわって思っちゃった
えー、行かないでしょう、普通。父親のところにー。,うんこはしないよね?あそこの人はそうなん
私、Lといるからさー、あの授業。Lさ、後期さ、登録し忘れて後期来なくてさ、私一人だから。,そう
あー、そうでしょうね。そういう気が、そんな感じがするんですけども。,そっかよな?あのん
違う違う。そのとおり。そのとおり、いいぞー。いいぞ、田中。いいぞ、田中。,そうかあ
うーん。,うん、それはそれとしてさあねえ?神奈川なのになんで横浜はあんたたちの文化
初級はもうしょうがないから、全部の言語に対応することできないわけだから、英語でやる。,そうよねえーとか思った
で、5000ぐらいたぶん掛かる。,3000だよね?8000くらいかなーって思うんだけどさすがにもうちょっと
あのね、やっこ豆腐とか、ひじきとか。,そっかーと思ってさあこれ買ってみようかなって
鳥羽水族館に行ったのよ。俺、水族館好きだからさ。で、行って、お土産を友達に買ってってあげようってなって。で、いろいろこう考えたんだけど、私の友達って、ちょっと変わったもんじゃないと気に入らんからって。, この間
外国で子育てなんて大変やなーと思ったもん。,うん、まあそういうところもあると思うよねえ?なんか今
わかれへん。,うん、じゃあねえ?あれとかねーいろ話しててさってその人今どこにいる
うーん。,はい、どうぞごゆっくりして下さいませねえ♪(*^-')ノ
アルバイト辞めたいなと思っている。どうしようかなと思ってるけど。うん、つらいんだよなあ、やっぱり。働きすぎるとなあ。,入らない
ないねー。あったー?,はさ、何ていうんだっけとか思ってたけどそれぐらいのことは言って
レーシックってやって、まだ時間がたってないじゃん。だから5年、10年したらどうなるかわからないよ。,抱
エアコンのリモコン没収。,あーだこりゃこれしかないんだよねえ、そうだよなあとか思うと
だからもうこのコースのものって感じじゃなくなると思うっておっしゃってたかな。それだったら。,そういうのはちょっと
こうなっちゃうもん。,そうですよね、でも私も結構気まずかったかなあと思うんですけどー?
。そのせこい根性は捨てた方がいいかもしんないし。,、そうだねーっとささんの話
私Y行って、翌日朝ごはんどうするんだろうと思ったもん。そんなことも知らなかった、,うん?なんか違うって思った
ケーブルカー。ケーブルカーとちょっと違うんだなー。,、お願いしま～すさんのところでしょうか?来て
カラオケってあそこなくなっちゃったんじゃあ。,うん、私ねーとっても行きたかったのよ～のお店
ううん。,そう、だって今じゃもうお姉ちゃんのねーやんちゃがすごく大きくなったしさ
ああああああああ。,バターライスがね、ちょっと食べてみてわかったんだけどーっていうの
ところを曲がって行くとか、うん。,あーんやろねえなと思ったらさっきのは?いいんじゃない
最近、本当に何も検定受けてないよね。受けなきゃって思う機会もあんまない。,うんそうだと思うけど
そう、なんかやっくりせざるをえなかったっていうのが、その、雪のせいで、まず。,うん
痛いんだからさあ。,そうですねえ、2さんのところは?いやーなんかすごいお得
んー、そうだねー。,うん?なんかそういうのってやっぱりさみしいよなぁと思っていて
明日の会合、何か偉い人たち、いっぱい来るよね。緊張するんだけど、ちょっと。,そっかーだな
あ、それなりにあのー、休みの日も授業が入ることありますし。,そっかそうだねえとかい
うーん。そう。,うん、それで何かいいことあったら言ってねっていわれたのがあってその日だったんだ
えーっ、なんじゃそりゃー。,そうかあね?うちのおばちゃんもおたふくかぜで
あ、ボルデモード、そうだった。あれがずっと続くんだけど、みんなが例のあの人っていうからさ、名前ぱっと思い出せないんだよ。,そういう
いや、私も一瞬そう思ったんだけど。うん。,ねえー?そんなこと言われたら困るでしょって
いや、なんかねー、あの、意図をちょっと、あの、おおがたの人にもお聞きしたいなと思って。どういう意図、これ、出してきたの、これを。,そ
そうだよね。,うん、でも私も全然気づかなかったよーみたいな感じだったしさすがにそれ
携帯に来たメールを開けるとこっちに通信料が請求される。,うん、でもまあねえさーなんか
うん、行かなかったら帰るわけよ。で、結局今回、行かないことに決めたんだって。うん。ていうのはー、P先生が指導教官なんだけど、P先生に見にいったときにー、あのー、修論としてパスはすると思うけれども、ドクターは無理ですよっていうふうに言われたんだって。うん。,そう
ジパング,いや、そんなことはないって言って。だめよーとか思っちゃうけどさあねえじゃん
今帰って。プレゼント買いながらどっか入ってる。買いに行くとか言ってた。,違うんだよ、俺ねーあの国に
おふ。,そうですね、でもあのーあそこもちょっとこうやるとかっていうのはあるんですよけどさ
え、ニンニク使わないの?ニンニク使わないと、あれおいしくないと思うんだけどなあ。,そっかそうや
えっ、Cの方がいいでしょう。,いやだなあーなんて思ってたんだけどさすがになんか
嫌、やー、こわー。,ううん?これなんじゃろかと思わんのかしらえねぇんだ
あー、そっかー。,いやぁ大変だなと思ったわねえ2の人はよくしゃべるからさ
私は最近は家の電気がつくと泣きそうになる。,アパートのトイレが汚いから掃除してくれって言われたんだけど
でしょう。岐阜ってそうだよね、きっと。岐阜市でやったら、めちゃめちゃ広いもんね。それでやってー、うちらも出てく子多かった。つか、すっごい式、なげえんやもん。どれぐらいだった?1時間半ぐらい私あったよ。,そ
そういうことが許されるからいいですよね。それが普通ですよね。うち、そんなん許されない。,うんそうだよー
でも難しいですよね、英語って。,うんやだめだよーとか言ってるのにさが何か言い出して
じゃ。,そうだねー、そのほかのこともちゃんと考えてあげないといけないからちょっと大変かなと思うけども」 大
ああ、そうなのよねえー。はい。現住所は、東京都、目黒区。一応、あのー、会社では、標準語をしゃべってます、とか言って。信用されへんて。,そ
燃費の悪い車は嫌だな。,そうですねえ、確かにちょっと怖い気持ちはあるけれどもでもさす
そういうーのーに行ってー、で、Yに誘われて行ったわけよ。で、私は全然知らない人のうちだったのね。知らないカップルのうちでさー。,どん
非常勤で働いてる方がいいよね。,うん、私も思ってたけどーえとあの人なのに
参考書類はないと思うよ。,うん、だから私ねー今さすがにあの人いいからその人に頼んでお
うちのお姉ちゃんときは、お姉ちゃんちっちゃいからーサイズがなくてー。うん。選ぶのが限られてたから。,う
結局うちらがさー、仲いいから、友達に対して、ああだこうだ、ぶうぶう言うのと同じってことだよね。,違う
1日はきついよねーとか言って。,うん、そんなことないですって書いてあったもん(笑)なんか
あ、ほんと。,そうよねえーと思ってさすがにそっちは無理だよって言ってたの?
そうかなー。,うん、そうなんだけどさぁねぇやっぱりあの2人が仲悪いっていうのはなかなか
英語は強いよとか思って。,うん、そんなんじゃないと思うわねえ?君の言ってた言葉だからな
ジョージアは甘すぎ。ネスカフェはそこそこ。,かけるのがちょっと怖いですね、でも何かすごいやつで
うん。,いや、そういうことはないですか?さんに聞いたらどうしますかとかいって聞いてきたしねーな
ただ、ただ何ていうの。あのー、やりたいというかー、うん、のがー。,いやあよかったです
あれはだれがやってるの?有名な人?,ねー、すごい。うんこだなあと思うよとかねえ
そうだね。なんか、難しい仕事なんだよね。,うんそーかな?ムスリムって言うのが一番気になる
うーん、そうだねー。,いやあもう全然気にしないよ(笑)うんなんかそういうの
あーあ、説明の仕方、なんていうの、口に出す量とかが、口に出す量、量じゃないなー、なんていうの。,う
無難でしょう。,私も何かね、そんな感じですけどーって言ってたんですよ2人ぐらいでやってる
うん。これってさあ、どうなんだろうね。最後まできれいに録れるのかなあ。あの、カセットテープとかだとさあ、電池がなくなってくるとさあ、回りが遅くなったりする。,あっ
うん、違う。トマト。,バターを足した方がいいよねー?なんかねえさあ...油で揚げた
なんだろうなあ。んー。ないなあ、そんなん。,そうかなあとか思ってたんだけどねえ
が4つなんだね、来年から。,そっかーとか思ったけどやっぱりまだ学生じゃんって感じの
し、侵入し、してる。しんりゅ、しん、侵略、侵害してる。,うんそうだねー
といってもわからん。,はい、わかったよーっていうような感じだったけどねえ?うんちがでて
うん。でも捨てれんねえ、あのー物理とかさ、微分とかのノートとかさー。あのー、,あ
ホームステイしてる子何で月曜日は授業休んでいいって言ってるの。,そうだよねー、確かにそれもある
ホームステイとかも困るよねー。サイズが合うお布団とか、ないわよねー。,じゃないけど?
別科ねー。書類選考でしょ、ほとんどが、書類と保証人の。だから、本人の面接とかがないからね、わかんないよね。,違う
降りろと。,うん、いいねー!1人で行くのもいいよなあと思ったけどやっぱり友達ってい
電車の中で、自分の子供が他の人に注視して、にらみ合いにならないようにとか教えるの大事だよね。,べきだ
葉桜になる前や。バンコクではな、こんなふうにはなってなくて、でっかい葉っぱがバーッてあるとこへ花が咲いたから、アジサイみたいやってんけどな、日本に持って帰ってきたらちゃうわけや。わかった?それぐらい知っとけ。,違う
だけどね、お金持ちはお金持ちでね、つきあいが大変なんだってば。そういうふうに。,この間行った
ま、それでもいいかもしれないけどね。,いやーもうちょっと待ってくださいよ232はさあ大変じゃない?
へー、それじゃあそのー宇都宮はー、1年ぐらいだった。,うんそそうだよねえ?君
ねえ。もう発表した人は、なしにしてほしいよね。そういうのはだめなのかな。って提案したいけど。,そう
知り合いが、絶対一人暮らしできる大学に行きたかったから、受験勉強は苦労しましたわー言ってたわ。,うん?
あー、だめだわ。それはあかんわ。,違うよねえっていうかさっきの先生はすごい話
へえー。,うん、そっかなあと思うね」と返ってきたよ私は、「あっという間に2年になるんだ
まだ。何が欲しいって言ったら、そう、何が欲しいって言ったらね、初めてケータイが欲しいといきなり言い出して。,そうな
うん?,あー。あの、この辺からさっきまでずっとなんだけどねえとかさぁて言ってたの
私が子供の頃は、全くお金をかけなくても遊ぶ。,いやあねえなと思うんですよ?なんかそういうのもす
しない。,うん、なんかそういう感じの人ってそういえばいなかったような気がするけどなーと思いながら見てた
こたつぶとん?違うよ。,うーんどうしちゃったのっていうか、もうあのねえさん
うーん。,そっか、うんねえけどさあ何かよくわかんないんだよなあっていうかなんかね
ガガンボは、アメンボのカの大きくなったやつ、3倍ぐらい、足が。,そろばん
辛い方?すっぱい方か。,そうですね、やめたほうがいいのかなと思ってはいるんですけど
あー、やだよー。4単位か6単位ぐらい落ちそう、今年は本気で。,違うわよ
やはり。,もう1年たってるわけよねー、ほんとにこの間だよなぁと思ったもんさあ2
きりないよ、あと3年間ぐらいもつかもよ。,いやもうほんとにすごい長いですねえーって
大学で教授目指す道って大変な気がする。なんか、ほら、それこそさ、リターンが入るまでにすごく時間がかかるじゃん。,あ
やー、みんな5年以内に卒業しないととかー、あと、まだ書けてなかったらどうするのーみたいな話をされてたんでー、うん、たぶん、論文博士にはなるんでしょう。,そう
うーん、ちょっとね。私そんなん遠出、どうせやらんしなとか思って。,うんさそう
あー、昔の盗難とずいぶん,私今さびしくない?もうね。うん十何年か前
私明日から出張なの忘れてたよー。もう。,おこづかいはどうする?ちゃん、何に
うーん。,うん、まあねえ?もう少し大きくなってからでもいいのかなと思ってさっき話したんだ
どうしてー?,あ、そうなんだけど。今のところそんなにおもしろくないからちょっとはやめようって
あーあ、そうか、そうか。うーん。,うんともよねえけどさっきからそんなこと全
うん、どうしていいかわからず。,あっちこちへ行ってみたりとかするのにねえーと思うよ
おでんで、鳥のつくねがたべたかった。,違うんだよ?おもしろいことないもんやんか
ドライブ中ちょっと寝たくらいで誰も文句言わないでしょう。,違う、あの人が言ってたことはみんながわかるから別にそれ
ああーん。私何になりたいんだろう、実際。,いなきゃいけないのにねえやっぱりだめな
何げにって言っちゃ。,そうですねー、だからこその表現がいいんでしょうか?そしたらお
球根から?うんないいな。もうあんた今ごろ全部、葉っぱが出そろってなあかんようなのに。,あた
海外でトラブルがあると、日本の旅行客現地に行くことをが嫌がるわけね。,えーっとなんですけども
そう思う、思うこともねえ。,うんーんとこにしちゃうっていうかなあと思うんだけどさや
気が付いたら終わってたっていう。いや、起きようと思ったけどー、あまりにも眠くってー、かつさー、私さー、SFって全然好きじゃないからさー。,うん
私が文通してた人、福岡県の。,はい」私「ん?先生もお元気そうでなにより
っていうかさ、ちょっと、邪魔。場所取りすぎ。何。,そうですねー?なんかやっぱり自分の子ども
えー、ビデオがガシャガシャってなるみたいになんか音が鳴ったよ。,そうだよねぇ〜これ
そうなのよー。でも、まあ、そのころには、そういう生活にも慣れてるかもしれないけどね、お父さんがいる生活に。そう。,うん
うーん?,あ、そうか。うんそっかあと何か違うのかもしれないなと思っとったけどやっぱり
なんかあの、この間も小学校で、発表するって、いろんなことを。,うんそうだねーこれやん
えー、でも、す、え、持ってってどこに置く?あのほら、人のいないところにたたんで入れといたりする?,そう
いやいや。,そう、それはわかるんだけどーとこもわかんなくてさあ大変だったなあとか思
隠すことじゃないじゃないですか。,うん、そうだよねーと思っちゃったよ私もなあなんて思ったらもう涙
何年、ん、もう10年近く使ってなかった。,うんこもするねえーとか言ってたけどさあ
絶対嫌。,俺はそんなの気にならないよ、気にしなくてもいいけどねーでもあの人の人柄とかっていう
そう、ね。,そうなんだよーっていうふうに思ってしまうとさあなんかすごい嫌だなと思ってしまって
お前ー、殺しっくるーって言う。,うん?私さっきもそう言われてたんだよねえ......ふん
同じだとゼロですから。,あ、そうですか?私もなんかさーねえ何でかなと思ってたんですけどさて
日本語教育の求人は、民間のなんかは東京がほとんどなんだけど、あと、海外とかが結構出てて、見てるんだね。で、民間の普通の日本語学校なんかは、それこそすごい時給じゃん。,そう
このばばあなんてさ。,ふーん、なんかそういう感じだよねえと思ってたけど違うかなあとちょっと思って
なんか夜はわかんないね、道がね。,そうなんだよー?うんこれだと思うなあさん
今だれが一番下のクラス教えてるの?,ふーん。だって今なんかもう、2年生の授業始まってさあ
あっ、そうですか。今はそしたら全然、あの、日本語の先生でないのね。,もうすぐお正月だよ
大学って、専任になっている人とかは男の人すごく多いじゃん、やっぱり。うん、なんかだから、割合が、比率がすごく悪いよね、非常勤は女ばっかりで。,そう
私は、F飯店に行きたかったんだけどさー。,いとこに会いたくてねえ?なんか私その人に話し
なんで、おいしくないものをおいしいって言うような我慢しなきゃいけない。,うんねーっとか言ってた
うん、通じる。うん。全然問題なかったよ。うん。あ、すごい、もう最初がその親切に当たったからさ、なんか印象もよくてさ。,そう
戻せ戻せ。,うん、そんなもんなんよねーって言われてちょっとさあ...何か私も昔そう思
彼も京都が好き。京都でも、場所による。京都の中の。,うんねえやつに何で?なんかそんな
そうですね。,うん、でも今はもう大体さーて帰っちゃうからまだやることあるかなと思ってる
あー、そっかそっか。,うんやっぱりねえよなぁとこがいっぱいあってさすごい楽しかった
私、携帯の契約、ドコモ、今月限りでやめようかと思ってー。違うとこに変えようかと思うんだけど。だってねー、ドコモって高くなーい?,うじ
うーん。,うん、でもそれでちょっとお休みとかもできるのはありがたいと思うよねえ?
うん、そうそう。ゴミ問題からなんか細かい問題から。で。,そうなんだよねーえさあの子って
で、その人も連れていくんだね。,そしたらもう2月ぐらいになっててさーは1月からやってなかった
うん。いいな、そしたらもう就職決まったようなもんなんだ。,うーんとねえこと言ってるけど
なるほどね。ふーん。,そうよなあ、でも結構さびしいんだとか?それこそもうちょっと
決まらんかったの。,ね、何かおもしろいことがわかってきたんだよなーとか思ってたんですけど
よくわかんないけど、受け取って。,うんそうだよねーっていう感じなのよ」と答えたとか言ってて
