発話者2,応答者2,対話行為,対話行為2,感情
うん。独り暮らしお金かかるもんねー。,そうだねー。そうなんだろうなー。,自己開示,あいづち,悲しみ
ん？,あの人たちも個人プレーヤーだもん。,自己開示,自己開示,悲しみ
私もストップしまくりだよー。,だからー、これはちょっとと思うわけ。うん。であと、考えてみたら、去年取りたくて取れなかったのいくつかあって。,自己開示,自己開示,悲しみ
木は休みで木はでも、日によってだめだったりするんだけど。,Ａがね、今日中間提出で一応、課題は上がるんだけど。うーん、何曜日がいいかなー。なるべく早いうちが楽しいよね。うん。でもさー、今日２０日でしょう？で、月火水がバイトだから、木曜日。,自己開示,自己開示,悲しみ
ないねえ。,全員で撮った写真がどっかにあるはずなんだよ。うん。ディズニーランドに行きたい。,自己開示,自己開示,悲しみ
お金使わずに遊ぶことがあたりまえだったんだけど、今はゲームにしろ、何しろ、お金がなくっちゃね。子どもが携帯なんか持つ時代だからねえ。,ねえー。ま、そういう意味では今、子供がいなくてよかったなあって思うわね。,自己開示,あいづち,悲しみ
うん。だったよ。京都とか奈良って、道が狭いじゃんね、だから、もう渋滞になったら、全然動かない。,でも、私、奈良なんて、もうずいぶん行ってないな。,自己開示,自己開示,悲しみ
ていうかね、うん、今はちょっと忙しくってさー。,俺さ何かね納得できなかった。,自己開示,自己開示,悲しみ
はい、どうも。じゃあね。またね。,じゃあ、はい、ありがとうございます。,自己開示,自己開示,悲しみ
研究会では私は発表しないですよ。,あ、しないんだ。,自己開示,自己開示,悲しみ
誕生日セールがあるって言っても別に今どっか行きたいとこないからなー。,あっ、そっか、もうすぐ誕生日だね。,自己開示,自己開示,悲しみ
そうだね。,いいなあ。F150もなんか行くとこないからさー、こないださー。,自己開示,自己開示,悲しみ
あー、無理。,ＸＸＸＸ。,自己開示,自己開示,悲しみ
まだ。うーん。,あと８分。,自己開示,自己開示,悲しみ
練習したのに。,直さないとないとねーとかいって。,自己開示,自己開示,悲しみ
うん。そういうのはあると思うからさ、だから、うーん、先生としてもそれはつらいだろうからさー。,やっぱり最初にはっきり、できてないときは、これはって。,自己開示,自己開示,悲しみ
病気もだけどやっぱり目が見えないっての、い、一番気の毒だと私は思う。,私もね、耳と目をどっちを取りますかつったら私は目を取りますよね。やっぱり見える方が幸せですもんね、聞こえないことよりね、楽しめますものね、いろんな時間の使い方がいっぱいできるけど。,自己開示,自己開示,悲しみ
えー、だからもうさー、新しいの出とるで、新しいのを買ってもいいかなとか思って。,でも安いよ、あの色は。,自己開示,自己開示,悲しみ
うん。こんなもんなんだーっていうのを１つしか見せられてないからさ。,だってさー、私、Ｏ先生の見てもわかんなかったし、最初。私初めてだったから、それこそ比べる対象がなかったからー、なんか、ああ、こういうものなんだっていうだけで。うん。それがやっぱりインプットされてるから、そのとおりにやろうと思うじゃないねえ。,自己開示,自己開示,悲しみ
だってー、文化のもう取らないって、文化の取る気がないっていうか、ねえ。じゃなかったら、その１つの群が埋まらない。,あ、じゃ１つ残してるんだ。１つの群を。ある条件を満たしていない？今の段階で。,自己開示,自己開示,悲しみ
そうそうそうそう。３年か、何か卒業間際じゃないけどー、何か、卒業シーズンだったような気がするもん。,高校のたん、そのときの担任がたまたま化学の先生でさー、マツダがちょうど何か、あの、水素爆発させて造る、動く車を造っている途中でそういう、倒産じゃないけど吸収合併されちゃったもんで、あれどうなったのかねーって。,自己開示,自己開示,悲しみ
もう無理だろ。,ね。ピアノ弾けって言われて楽譜渡されて。,自己開示,あいづち,悲しみ
どうだろう、もう。はある。,でももう６時で終わるものだと思うのは嫌だよね。,自己開示,自己開示,悲しみ
少ないと思うよ。そんなに生徒数もいないかもしれん。おなかいっぱいになってきた。,なってきた。結構ずっしりくるよ。,自己開示,自己開示,悲しみ
聞かれないよ。全然聞かれなかったよー。,そういうのに慣れてないのか、それともいらないと思ったのか。,自己開示,自己開示,悲しみ
あ、そっかー。何か、私、背はねこだわんないんだー。,うん、私も別にこだわんない。,自己開示,自己開示,悲しみ
そうだよ、私、ちょっとそれは無理だね。かなりね。うん、かなりね。行くとしてもあんまほら、ふざけられないしね、なんか、気が。,そう、だからもう大学へ行った友達しか来ないと思う。,自己開示,自己開示,悲しみ
じゃあさ、大学院に行くってことは３年ぐらい帰ってこないの？,いや、何かコースが２つあって、１年コースと２年コースがあって、１年コースおわっ、とりあえず１年コースにいて、終わったあとにもう１個取ると、うん、何だっけ、うん、２年コースなんだけど。最初っから２年コースっていうのもあって、それは何か、途中で脱落すると何にも資格がないのね、ていうか大学院卒。で、１年で終わって帰ってきても、日本に帰ってきて、その資格を日本語に訳すと大学院卒になるんだって。だから、とりあえず１年の。でも２年行くんじゃない？,自己開示,応答(平叙),悲しみ
ま、似合ってないんだろうね。,なかなかいないよね。,自己開示,自己開示,悲しみ
そう、出ていけないことはないけど、もう。,寒いしね、やっぱり正月はのんびりに尽きるよねー。,自己開示,自己開示,悲しみ
へえー、いやー、私もＭＤのを１つ買ったんですけど使い慣れなくって、この前持ってって帰ってみ、あの、録れてなかった。,あら。ね、そういうのがね。,自己開示,フィラー,悲しみ
あんま浪人の友達いないからな、私。,うそー。私、浪人の友達結構多いよ。,自己開示,あいづち,悲しみ
じゃ忙しいんだー。,うん。今週末はね、レジュメをまだ完ぺきに仕上げてないから、あれを手入れて、で印刷しなきゃいけないとか、そういう作業があって。うん。ゆっくり、やってらんないね、困ったな。,自己開示,応答(YesNo),悲しみ
自分の体は自分で気をつけるべきだなって思った。,そうですね。やっぱり体って自分で気をつけないとね。ほんとにそれはね、しみじみ思いました。,自己開示,あいづち,悲しみ
だって、２年間もブランクあれば、スキー滑れなくなってるでしょ。,わかってんだ、自分の実力のなさが。,自己開示,自己開示,悲しみ
めちゃくちゃ孤立してる。,そう。あの、パチンコ屋に行っちゃうお父さんだったよね。,自己開示,あいづち,悲しみ
これそんなにからない。,もう全部開けたの。,自己開示,自己開示,悲しみ
絶対これアルバイト料もらえない。,もらえないなー、これ。ごめんなさい。ほんとに。,自己開示,自己開示,悲しみ
ねえ。なんだかねえ。,キュウリの輪切りはありましたけどね。,自己開示,自己開示,悲しみ
そうなんだよねー。そうなんだよねー。うん、すべてをわか、うん、話してわからせようっていうのは、難しいよねー。うん、いいこと悪いことの区別ができてないところでさ、話してわからせようと思っても、それは無理なところがあるからね。うん。だから、うーん、そうだね、ことによるかもしれないけど、あ、これは叱られるってことは悪いことなんだっていうのが、先行しちゃうところもあってもしょうがないんだろうね。あとから理由がついてくれば、いいわけだからね。そう、なんかねー、姉の姿を見てると、ほんとに大変そうだなと思って。うん。そう、だからね、私はね、わりと叱ってこうって思ってるの。うん。,もう、そろそろ２時。,自己開示,自己開示,悲しみ
俺は、「メン・イン・ブラック」のがつまんない。,「メン・イン・ブラック」、おもしろくなかった？見てないけど。,自己開示,確認,悲しみ
イチローのこと日本にいたときには見てなかったんです。,あ、そう。でも後半になったらわりとね、パ・リーグもやるようになってたけど。,自己開示,あいづち,悲しみ
ああ、あ、あきらめはつくかな。,まあ、こういう授業もありかっていう感じ。,自己開示,自己開示,悲しみ
ちゅうかだってこれ載ってないだもーん。,これ、曲がるよ。このまま行っとってもしょうがないで。,自己開示,自己開示,悲しみ
うん、いないね。うーん。いやー、大学。,一緒に。,自己開示,自己開示,悲しみ
私も別にまだ何もそんなもらってないから、何があるのか知らないんだけど。,そっかそっか、来るんだー。,自己開示,自己開示,悲しみ
うん。でもなんかそのー。,うん。冷え、冷やさないっていうことは、うん。,自己開示,フィラー,悲しみ
ねえ。,やってたけどね、なんかバーゲンでも買えねーやっていうのがいっぱいあったからー、なかなか買えんかったー。,自己開示,自己開示,悲しみ
うん、そうかそうか。テレビはだめですね。ほんとにもう見ちゃうとねー。,うん。でもあの「プロジェクトＸ」っていうＮＨＫのがすごいいいよね。昨日夜中にやってたんだよね。あさま山荘のやつ。で、見ようか。,自己開示,あいづち,悲しみ
そうだっけ。,どこだったか。,自己開示,自己開示,悲しみ
半袖なんか着れないよーとか思うけど。そう。,今日も１枚、普通に羽織ってるよね。,自己開示,自己開示,悲しみ
つーかなー、いつも使ってるところが埋まってさえいなければ、ちくしょうめ。,復活しねーかなー。,自己開示,自己開示,悲しみ
あーだめだ、もう。死ぬ。,やーばーい。超食べ、超おいしかった。,自己開示,自己開示,悲しみ
そうかなー。,うん。そうなんですよ。でもまあ、ありがたい限りです。,自己開示,応答(YesNo),悲しみ
あ、キムチがだめなんだ。,だから納豆とかと混ぜる想像できないっていうか。,自己開示,自己開示,悲しみ
うん、ちょっと。,マイナスとか。,自己開示,自己開示,悲しみ
違う、あんねえ、１古い方はいいんだけど、新しい方のやつがねえ、付け方がよくわからんくてねえ。,じゃあ、俺もわからんかもしれんぞ。ちゃう、わからんもん持ってくんなよ。,自己開示,自己開示,悲しみ
でもそうだよね。,夕方の時間に入ってるから。,自己開示,自己開示,悲しみ
なあにそれーってー。なんか、なんだかねー、この間中学校とかの先生も、なんか、ひ、評価っていうことにもうちょっと真剣に考えた方が。,でもなんかそんなのーでバツに、まあまだマイナスとかだったらわかりますけど、そのバツにしちゃったらー、全然わからない子とそのわかっててただ言葉をまちがえた子とでは、同じ評価になっちゃうっていうのは変な話ですよね。,自己開示,自己開示,悲しみ
そんな、ひどい。,すごいですよ。受験者がもう、その時点でいないんですよね。,自己開示,自己開示,悲しみ
あ、Ｌ、そうそう。,Ｌ君と結婚して。,自己開示,自己開示,悲しみ
内戦だ。,内戦やってるじゃん。,自己開示,自己開示,悲しみ
そのあと、３７歳からやろ。,いずれにしてもそんな詳しくなくって、適当に,自己開示,自己開示,悲しみ
ああ、そっか。,でも仕事がある。,自己開示,自己開示,悲しみ
冬の間にこう、じわりじわりと大きくなってくから、あれは。,ふーん。すごいいっぱい作ってますね。,自己開示,あいづち,悲しみ
うん。そうだねー。,うん。そうそう。,自己開示,あいづち,悲しみ
忘れないよね、恥ずかしい思いしちゃったら。,忘れない。,自己開示,自己開示,悲しみ
ディズニーのツリーの点灯式やるのに３人ぐらいじゃ嫌だよ。悲しいよね。,うん、でもその日は土曜日だったからフランス人もすごいいっぱい来てて。,自己開示,自己開示,悲しみ
うーん？,いろいろ。,自己開示,自己開示,悲しみ
痛いよね。しかもさ、ちゃんとした授業っていうかさー、こうなんか出がいのあるやつだったらいいけど会話とか結構微妙じゃん。,そうそうそうそうそうそう。微妙だよー。,自己開示,あいづち,悲しみ
泣か、寝る。,ふーん、その方がいいね。,自己開示,自己開示,悲しみ
はー。だってそんな限られますよねえ、いくつかに。,そうそうそう。,自己開示,自己開示,悲しみ
うん。いいな、そしたらもう就職決まったようなもんなんだ。,やー決ま、決まったようなもんじゃないけどー。すごい遠いもん。,自己開示,自己開示,悲しみ
休めんて。,２月の９。,自己開示,自己開示,悲しみ
ああ、全然、全然そんな、とんでもない、だって。,あと、一昨日、Ｂちゃん、誕生日だったと思う。,自己開示,自己開示,悲しみ
あ、そうなんだ。,うん。でも、危ないって言っても、今、今すぐどうこうっていうわけじゃなくて年内はもつらしいって言ってるのね。それは今すぐどうこうっていうことじゃないのって思ったんだけど。ねねね、オムライスが先に出てきてさー、ケーキがあとっていうのもおもしろいもんだよね。今作ってるのかもしれない。,自己開示,応答(YesNo),悲しみ
うん。歯によくないよね、キャラメルは。,ああ、おいしそう。,自己開示,自己開示,悲しみ
ごめんね、ちゃ、ほんっとごめんねー。ほんとにね、申し訳ないと思って思っております。すみません。,まあ、よいでごわす。なんか、多少は覚えるし、これで。空港行くときは、庄内川まで行ったら行きすぎってことはもう、わか、インプット。,自己開示,自己開示,悲しみ
ねー。でも入らないけどね、私、たぶん。,ていうか私、入らざるをえないけどね。,自己開示,自己開示,悲しみ
いつ帰ってらっしゃるんですか。,来年のー、いつかなー。,自己開示,応答(平叙),悲しみ
遠距離恋愛なんて自ら大変な方にいくのはダメだよ。,そりゃ距離のせいでだめなのかよくわからんけど、離れすぎたらだめだよね。,自己開示,自己開示,悲しみ
今の大学、バス停から教室まで行くのにすごい時間かかるよ。遠いよ。,学内は自転車で回らんと。,自己開示,自己開示,悲しみ
大工で出張にきてて、その時に亡くなったんだけど、中卒で仕事している子なんだけどねー、あっけないなーと思って。,えー。岐阜の。,自己開示,あいづち,悲しみ
うーん。電話つなげなかったらいいんだよねー。どうしよう。,だから迷惑電話はない、なくなるよねえ。携帯を続けて使えば。,自己開示,自己開示,悲しみ
でもキュウリなんか大量に切ったら酢の物にするしかないですよね。で、もう家族嫌がって。,家で練、だから家でキュウリ切って、でもキュウリなんか大量に切ったら酢の物にするしかないですよね。で、もう家族嫌がって。,自己開示,応答(平叙),悲しみ
確かにどっちかが辞めなきゃいけないから、将来性がある方が続けるってこと。,で、お前、奥さん、東京に配属んなったらおまえ辞めた方がいいんじゃないかとか、なんか神奈川にも会社があるから、おまえあっちに飛ばしてやるとか言われるらしい。,自己開示,自己開示,悲しみ
もうでもあれには乗らない。ＦＵＪＩＹＡＭＡ乗ったときにゃ。,ＦＵＪＩＹＡＭＡすごいよね。見ただけで怖いもの。,自己開示,自己開示,悲しみ
うん、暑い。開けるし。だからもう、逃げ出す。だからなんか。,それはね、どっちに合わせたらいいか難しい問題だね。,自己開示,自己開示,悲しみ
んー？,あのさー、ほら、結婚式のときにさー、あの、チャペルでさー。彼ってさー、返事早いじゃん、すごい。人にかぶせるじゃーん。,自己開示,自己開示,悲しみ
あ、そう？,すいません、よかった。,自己開示,自己開示,悲しみ
もう俺を見ろーみたいな感じで、すーごい走り回って、かみついてくるし、もう自分が注目されてないとやだみたいなさー。,人間の子どもみたい。,自己開示,自己開示,悲しみ
私もだ。じゃ、F058ちゃんには出せないね。ごめんね。,じゃ、送るよ。,自己開示,自己開示,悲しみ
そういうと、日本人のそこまで守る仲間も少ない、薄いかもしれない。全体的にある程度愛想いいけど。,どうでしょうね、わからないけど。でも、それは、言ったけど。でしょうって。ほんとに自分と関係がないとか、仲間じゃないと思ったら、ふんで処理、何が悪いって感じで、それはそうって。,自己開示,質問(What),悲しみ
いやいやいや、１か月。,じゃなくて。あー、いいですね。,自己開示,フィラー,悲しみ
明日で一気に減りそう。コートで。,なんかさー、何に使ってるのかわからないけど減ってくんだけど。,自己開示,自己開示,悲しみ
あの、なんか下りてるかもしれないんだけどよくわかんない。,そのころ起きてないでしょう。あたし今日の朝はもうつらかったよ。わたし今日、今日から学校なのね。,自己開示,自己開示,悲しみ
うん、あたしもそう思う。,だから、ちょこちょこさあ、それこそ３つも４つもって感じでさあ、そんな大学に１コマ、２コマ入るぐらいだったら、１つの大学に４コマとか持った方が絶対楽だもん。,自己開示,自己開示,悲しみ
ちょっと恥ずかしいよね。ま、さすがのM023ちゃんでもしびれを切らす？,俺も無理だね、あれは。何、な、なんだったの、だれがかいたっていう。企画した人が知りたい。,自己開示,自己開示,悲しみ
いや、痛い。,ドキドキするんで何も食べれない。,自己開示,自己開示,悲しみ
５００キロだと東京から大垣まで行っちゃう感じがする。そんなの飛行機ないとどこにも行けなくなっちゃうよ。,そうそう。すごい、アメリカだと５００キロは地図見て、あ、近いと思っちゃう。,自己開示,自己開示,悲しみ
あー、そう。,飲みやす、でも、飲みやすい。,自己開示,自己開示,悲しみ
うん、なんか変な感じだったね、でもねー。,歌でつながるって感じだったよねー。,自己開示,自己開示,悲しみ
結構だめ、だめな感じなの？,どこで私発揮すりゃといいのとか思ったよ、自分。力を。,自己開示,応答(平叙),悲しみ
そんなことない。,大人っぽい字。,自己開示,自己開示,悲しみ
そーだったねー。,うん。,自己開示,応答(YesNo),悲しみ
うん、ねえ。,もう出す資格があるわけだから、別に。,自己開示,自己開示,悲しみ
あ、そうですか。ふーん。,お名前を聞いたことあります。,自己開示,自己開示,悲しみ
そうかしらー,げろげろーって思っちゃった。,自己開示,自己開示,悲しみ
やだ、冬の寒い中、テニスとかやりたくないー。,そうー。私テニスー、２回。,自己開示,あいづち,悲しみ
吊ったままですよ。,うーん。ふらふらふらふら回ってるけど。,自己開示,フィラー,悲しみ
あ、そうなんだ。,あのー、名古屋のお寺って、ちょっと歩くと、なんか、おさい、おさい銭っていうか、なんかの、置いてあるから。,自己開示,自己開示,悲しみ
そうかそうかー。,うん。でもなんか、いろいろ違うんやね。,自己開示,あいづち,悲しみ
だめだわ、無口なタイプだからもう話題がない。,ねーねー、今日ねー、ガス、ガストまで送ってもらったの。あそこに、バス停の前にさ、ファミリー、ファミレス、ガストがあったじゃない。,自己開示,自己開示,悲しみ
二年間が終わったら何やろうかと思ってもう。,旅行しましょう、旅行。,自己開示,自己開示,悲しみ
だんだんそれは２人の間でしなくなるやろうけどな。,うん、でもやっぱりありますよね。思わぬところに落とし穴が。,自己開示,確認,悲しみ
大変そうだよねー。しかもさ、いつ日本に戻ってこれるかも、ねえー、わかんないよねー。うん。,大変なんだよなー。,自己開示,自己開示,悲しみ
うん、なんか、オヤジいわく、人様の子どもは茶髪でもいいけど、自分の子どもは嫌なんだって。,あるね、そういうの。,自己開示,自己開示,悲しみ
ナシねー、なんかねー、あんまし食べ過ぎるとねー、あの、舌がかゆくなってくるからあまり好きじゃない。,あ、ほんと？ナシアレルギー？まさか。そんなんあんのか知らないけど。,自己開示,確認,悲しみ
うん。なるほどねー。,うん。あのー、で、その男の俳優がすんごい上手でね、びっくりするぐらい上手で、あのー、学生のときはね、ほんとにちょっとおどおどした感じで、なんかちょっとこっけいな、自信のない男の子みたいな感じのところがあるわけ。で、あの先生役の、の、をやってるときっていうのはさ、要するに、バッと年が変わるわけじゃん、十何歳。で、そうするとね、ほんとにね、りっぱな先生みたいな感じですごいかっこよくなって。そんなん、ねえ、バッと切り替えるのも上手だし。,自己開示,あいづち,悲しみ
そんな年末なのに。,うん。２０ね５日に出て、１２月、でその６日発の飛行機で帰ってくるっていうので、８万７０００円。,自己開示,応答(YesNo),悲しみ
語学学校の授業はねー、話す時間もあったし、聞く時間もあったしねー。テキストにばっちり沿ってっていう感じではなかったね。結構それを使いましょうっていうのに、主に重点が置かれてたかな。,うん。フランス人も気性、荒そうだよね。,自己開示,あいづち,悲しみ
うん。そうですね。へえー。,その社長はやっぱりまあ、年も年やったし。それなりにおいしいもの嗜好やったみたいで。何で、何で、しかしそんとき、そのウナギを食べに連れていってくれたのか全然覚えてないねん。,自己開示,自己開示,悲しみ
全然芸能界のニュース、チェックしてなかったからさ。,あの人もびっくりだよね。,自己開示,自己開示,悲しみ
鳥羽、またこっちまで行かないかんやん。,場所が違ったか。同じおじさんがいたりしてね。,自己開示,自己開示,悲しみ
うーん。お菓子の時間はもうちょいか後かな。うん、うん。,そうだね。,自己開示,自己開示,悲しみ
そう。,なんか、何食べたのか全部ばればれなんですよ。,自己開示,自己開示,悲しみ
なんか、ただのおかしい人みたい。でもないんだけど。うん、すごい気持ち悪い。,受け入れられないかもしれないね。それだけ読んだら、何言ってるのって、思うかもしれないよね。,自己開示,自己開示,悲しみ
普通の仕事してるお勤めの人が痛風だからって、サンダルで会社行けないじゃない。,そりゃそうよ。市役所いらっしゃるけどねえ。,自己開示,応答(平叙),悲しみ
あ、そうなんだ。,見てないから、今。,自己開示,自己開示,悲しみ
冬休み初日だからさ、,バイトの強みだ。,自己開示,自己開示,悲しみ
ほんな意味ないやんね。何しよう。はよ決めようって感じかな。,うん。じゃあ私ね、ミルクレープにする。,自己開示,あいづち,悲しみ
足が。,ダイエット。ダイエット。,自己開示,自己開示,悲しみ
あー、あ、そうかそうか。なるほど。,だから人数が。,自己開示,自己開示,悲しみ
ほんとだねー。,うん、ま、できないけど。,自己開示,自己開示,悲しみ
何話しとるんかわからんくなってきた。,やーでもねー、院に進んでよかった。,自己開示,自己開示,悲しみ
ていう場合とー。,うん、ほんのちょっとできてるぐらいっていうのはね。,自己開示,自己開示,悲しみ
若い人はいるけど。でも若い人が年取ったら、手組んで歩くかなー。,どうだろうか。,自己開示,自己開示,悲しみ
ないでーす。,ないだろ。だったらもうそれあきらめて、とりあえず着くこと考えよう今から。早く着いてー、,自己開示,自己開示,悲しみ
そうだよー。,気が付いたら行かなくなっちゃったー。,自己開示,自己開示,悲しみ
手帳も、あー、ここが破れてきた、やっぱり。あんまり大きいの入れるから。どうもいや、これってよくないねって言ってるんだけどね、これが壊れちゃったのよねー。それで無理して入れちゃいけんわ。残念といや残念。,縫えばいいじゃん。,自己開示,自己開示,悲しみ
うまくいかせたいけどね。,うん。いかせたいね、かなり。でも、何かね、気が合いそうな気がするんだよ。F114ちゃんとその人。,自己開示,あいづち,悲しみ
嫌だなー。,ほうしてよう。,自己開示,自己開示,悲しみ
あたしも自分でねー、何かそんな若者っぽくないと思ってるんだけど。うん。,そんなことない、そんなねー、そんな。,自己開示,自己開示,悲しみ
不利ですねえ。,ねえ。もう、えっ、て感じじゃないですか。だから、留学自体は行きたくてしょうがなかったんですけど、よくよく考えると。,自己開示,あいづち,悲しみ
そう、私もこの痛んでる部分全部切りたい。ブチッて。,えー。でもＲが短いの、今、想像できない。,自己開示,フィラー,悲しみ
降りろと。,降りろって。で、日本から来てた、その例えば全、あたし全日空のあのー、あれで来たわけ。全日空機。ジャンボ使って。バンクーバーに降りたのよ。もう、あのー、アメリカので。そ、そして、丸２日たって、とにかくそういうとこで待機してる、いろんなところで待機してる飛行機だけ入ってよろしいっていう、なんだ、そのときに日本の飛行機は全部成田へ帰ったんだよ。,自己開示,自己開示,悲しみ
失礼します。,ありがとう。,自己開示,自己開示,悲しみ
あっ、そうなんだー、微妙、微妙。,そういうのばっかり。,自己開示,自己開示,悲しみ
行きの飛行機はそれは安いけど、帰りの飛行機は高くなるんだね。,うん、そう。だからもうそれはぐっと高くなるのね。,自己開示,応答(YesNo),悲しみ
そやけどＢちゃんはな、ここにいてるときはな、まあゆうたらそういう生活、やっとったわけよ。それが今のマリエッタ状況になると、困るか、フラストレーションかどっちかやと思うが、全然そんなことなかったな。。,あの子、そやけどそん、そんなに、そ、そういう状況というか、そんなに幸せ、幸せていうか、したいようなタイプの子と違うんやと思うわ。あの子そんな友だちとぶらぶらどっか行ったりせえへんやん。おおつ、Ｇやわ、む、むしろ。そのぷらっぷら型は。そやけどそのー、すごいやっぱり家族のあれやねんやと思うわ。家族教育的やねん、もうアメリカ。日本に比べて。,自己開示,自己開示,悲しみ
あ、違うわけ。,水着も入りたいときは、１７００円ぐらい払って、全部。温泉だけのときは、忘れちゃったけど、なんか３００円とか、６００円とか７００円とか払うんじゃない？忘れちゃったけど。で、入って、温泉入って、それで出てきて、で、帰りにおそばだと思って行ったら、もう閉まってた。おそばが売り切れたら、閉まっちゃうんだね。だから、だめだった。そしてその。,自己開示,応答(平叙),悲しみ
自分がフランス行ってたからって、わたしは大丈夫。,えきは疫病の疫でしょ、口蹄疫っていうのがはやってて、だからなんかその、なに、乳製品のー輸出入に、すごいあのー敏感になってたわけよね。敏感、過敏？過敏になってたわけよー。,自己開示,自己開示,悲しみ
はいはいはい。ああ、じゃあそれで起きればいいじゃないですか。,うん。で、今何時かなあと思ってこう見て、９時か８時半なんですよねえ。あ、これはもうちょっと寝ないといけないかなあとか思って、寝ちゃうんですよね。,自己開示,あいづち,悲しみ
いいかもしらん。,やるの。そうするとね、１キロぐらい減るよ。,自己開示,自己開示,悲しみ
私爽健美茶だと思いながら飲んでたけど、ずっとおかしいやーって思いながら飲んどったのー。,私、お金ちょっとでも切り詰めようと思って、使い終わったペットボトルに作ったウーロン茶を詰めてるんだ。,自己開示,自己開示,悲しみ
留学に行ったのは大学院出た後、ちょっと教えてからだったから20歳半ばくらい。,もう２０代後半だったわけでしょう？,自己開示,確認,悲しみ
何もりっぱなもんできてない。何もりっぱなもんできてない。ほいでね、やっぱり手編みのセーター、自分の編んだセーターなんかね、普段着しかできないわよ。,でも軽いし、あったかいし。,自己開示,自己開示,悲しみ
どうしよう、もうさあ。,こないだもさー、栄行ったときに買おう、買ってってあげようかと思ったんだって。,自己開示,自己開示,悲しみ
そのー。,パソコンよくわからん。,自己開示,自己開示,悲しみ
名古屋なんか降ったら、ほんとにまひしちゃうもんね。そんなもの用意してないから。,びっくりしちゃうだろうね。,自己開示,自己開示,悲しみ
たぶん助手席と後部座席の作りは多少違うと思うんだわ。,私乗るときまたぶつけるような気がする。,自己開示,自己開示,悲しみ
かかり、ま、かかるけど、車とかバイクとかよりかかんねえ。,いや、それはそうだ。いやこの、あたしつけた。,自己開示,あいづち,悲しみ
私とか、わざわざ編入してきたんだからさ、もう動物関係ばりばりやった方がさー、いいんだけどさ。みんななんか、そんな頑張んなよ、みたいな感じだからさ。私とかは頑張って恥ずかしいなって感じ。頑張ってないよって感じにしてる。,ふーん、そうなんだ。でも大変そうじゃん、授業、なんだっけ、解剖スケッチだっけ。,自己開示,あいづち,悲しみ
そう。,大丈夫だよ。,自己開示,自己開示,悲しみ
うん、無理矢理だろう、それは。年末年始の休みにー、その前の週のその、その,休みを使って。,自己開示,自己開示,悲しみ
大学で教授目指す道って大変な気がする。なんか、ほら、それこそさ、リターンが入るまでにすごく時間がかかるじゃん。,そうだよね、そうそう。,自己開示,自己開示,悲しみ
えでもやっぱり悪いから言えないかもしれない。,うん、そうだね。,自己開示,自己開示,悲しみ
終戦すぐ？,うん。ああ。あのー阿佐ヶ谷は空襲されなかったから。帰ってきたわけ。,自己開示,応答(YesNo),悲しみ
そうかー？でも、私、３日もなかったよ、もう。なんか、なんか知らないけど、やっぱり真ん中って損だわ。,そうかなー。でも、うちはあれだからなー。真ん中は男だからなー。うーん、なんかちょっと違うかも。,自己開示,自己開示,悲しみ
授業の練習をするって、そこの項目の教え方がどうこうとかっていうこと以前に、すべてが半端みたいなところもあるしさ、なんか難しいよね。,雲つかむような話だよね。,自己開示,自己開示,悲しみ
はあ。,だから、ＩとＮって言ってね。,自己開示,自己開示,悲しみ
そんなにすんの。,え、あれ？国立って、年間いくらの授業料？俺、授業料免除もらってっから、よくわかんないんだよ。払ったことないもん、授業。,自己開示,フィラー,悲しみ
でも、そうでもないんですよね。,あ、そう。あった？仕事。,自己開示,あいづち,悲しみ
うん？,１１年、死ぬことも予定の１つ目、これは、１３年。ね。ふっと感じたことを引きとめとくの。ね。これ、これＫ君が生まれたとき。秋晴れやひ孫の産声元気よく。,自己開示,応答(平叙),悲しみ
アトラクション待ってる間に流れる説明みたいなやつ、覚えてないの。,うそー、そうだったっけ、あー。,自己開示,自己開示,悲しみ
なんで、いいじゃないですか。,もうなんか。,自己開示,自己開示,悲しみ
恥ずかしいよね、あれ乗るの。,あれは無理だろ。,自己開示,自己開示,悲しみ
あー、そっかそっか。Ｊ君、どうしてるかねー。,＜笑＞いや、酒飲んでるよ。,自己開示,自己開示,悲しみ
でもさ、もともとはあんどんとか使ってたわけでしょう。それをなんとさ、なんであのあんどん文化が残ってないんだろうと思って、うん。結構最近さ、外でさ、こ、なんていうのー、あの、焼き物で焼いたのとか和紙で作ったので売ってるじゃない。だからああいう売ってるのは見るといいなと思うんだけど、はたしてそれを買ってきて合う部屋があるだろうかって考えると、ないし。,ないよね、なんか目が悪くなるみたいなのが強いんだよねー。,自己開示,自己開示,悲しみ
行けるんじゃないの、Ｗとか。。,もーうちょっとなんかまともにならないのかなあ。学生に。だから、学生ってなると、ようやくＣ２さんが１人入ってきて、うまくやってるぐらいで。,自己開示,自己開示,悲しみ
南の方なら。,そやからその日本との直行便飛ばして、アトランタと成田間ね。,自己開示,自己開示,悲しみ
まあねー。だからあんまり薬飲むのもよくないしー。,そうだね、副作用あるし。,自己開示,自己開示,悲しみ
うん、それはそうだね。,うーん。でもー、ほかはどうなんだろうって思った。,自己開示,あいづち,悲しみ
そうそうそうそう、何かこう、何かが近づいてきてそれをこうつかんだ瞬間にもう遠くに行っちゃってっていう感じだよね。,こんなことじゃあっという間に４０だよ。,自己開示,自己開示,悲しみ
うん、でもさー、春になったらまあ１歳だからー。,うん、だから平気だと思う。,自己開示,自己開示,悲しみ
